,Order,Date,,,Date,,Transect,UniqueID,tag..,Sun.Shade,Excluded.QC,Excluded.Branch.Length,QC.temp,Diam.Length,Diam@1m,Branch..,Branch.Diameter,Y1.Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M.O,O1,O2,O,Notes,R.dates,L.sum,Y.sum,M.sum,O.sum,Y.prop,M.prop,O.prop,QC.check,Sum.Total,Date2,DOY,Time group,BranchArea,Leaves/DiamArea
30,30,9,4,2012,9/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,18.9 mm @ 1 m Branch,18.9,TR11_0904_SU,NA,154,186,67,0,0,0,0,665,0,0,0,0,325,NA,9/4/12,1397,407,665,325,0.291338583,0.476020043,0.232641374,1,2469,9/4/12,248,1,280.551841,8.800512559
32,32,9,4,2012,9/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,N/A,,TR11_0904_SU,NA,63,104,172,0,0,0,0,306,0,0,0,0,103,NA,9/4/12,748,339,306,103,0.453208556,0.409090909,0.137700535,1,1393,9/4/12,248,1,,
54,54,9,25,2012,9/25/12,2012,NA,TR11_,TR11_,sun,X,NA,NA,19.0 mm @ 1m Branch,19,TR11_0925_SU,NA,0,0,0,4,310,0,0,0,0,868,0,0,45,NA,9/25/12,1227,4,310,913,0.003259984,0.252648737,0.74409128,1,1541,9/25/12,269,1,283.5284975,5.435079767
116,116,11,14,2012,11/14/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,19.7-20.6 mm @ 1.25 m branch,20.15,TR11_1114_SU1,NA,0,0,0,29,333,0,0,756,0,0,0,0,5,NA,11/14/12,1123,29,1089,5,0.025823687,0.969723954,0.00445236,1,2241,11/14/12,319,2,318.8890564,7.02752244
118,118,11,14,2012,11/14/12,2012,NA,TR11_,TR11_,sun,X,NA,NA,dropped leaves for TR_SU1_1114,,TR11_1114_SU1,NA,0,0,0,11,13,0,0,4,0,0,0,0,1,NA,11/14/12,29,11,17,1,0.379310345,0.586206897,0.034482759,1,57,11/14/12,319,2,,
119,119,11,14,2012,11/14/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,"Others, 12.3-12.4 @ 0.95 m Branch",,TR11_1114_SU1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,11/14/12,0,0,0,0,NA,NA,NA,NA,0,11/14/12,319,2,,
120,120,11,14,2012,11/14/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,13.5-14.7 mm @ 1m branch ,14.1,TR11_SU2,NA,0,0,0,3,58,0,0,766,0,0,0,0,0,NA,11/14/12,827,3,824,0,0.00362757,0.99637243,0,1,1654,11/14/12,319,2,156.144877,10.59272665
122,122,11,14,2012,11/14/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,1 m  branch+ others=17.2-17.5 mm @ 1.2 m,67.35,TR11_SU2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,11/14/12,0,0,0,0,NA,NA,NA,NA,0,11/14/12,319,2,,
214,214,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,Sub 1 (15.3-15.3 mm @ 0.95 m branch),15.3,TR11_SU1,NA,0,0,0,0,0,0,0,1123,0,0,0,0,0,NA,12/4/12,1123,0,1123,0,0,1,0,1,2246,12/4/12,339,3,183.8537008,12.21623492
215,215,12,4,2012,12/4/12,2012,NA,TR11_,TR11_,sun,NA,NA,NA,Sub 2 (12.5-13.3 mm @ 1m branch),12.9,TR11_SU1,NA,0,0,0,0,0,0,0,596,0,0,0,0,4,NA,12/4/12,600,0,596,4,0,0.993333333,0.006666667,1,1196,12/4/12,339,3,130.697998,9.150867026
