,Order,Date,,,Date,,Transect,TreeName,UniqueID,,Sun.Shade,Excluded.QC,Excluded.Branch.Length,Diam.Length,Diam@1m,Branch..,Branch.Diameter,Y1.Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M.O,O1,O2,O,Notes,R.dates,L.sum,Y.sum,M.sum,O.sum,Y.prop,M.prop,O.prop,QC.check,Sum.Total,Date2,DOY,Time group,BranchArea,
5,5,8,22,2012,8/22/12,2012,NA,TR9_,TR9,,sun,NA,NA,19mm in 1m Branch,19,TR9_0822_Sun,NA,0,0,0,124,0,0,0,20,0,0,0,0,309,NA,8/22/12,453,124,20,309,0.273730684,0.04415011,0.682119205,1,597,8/22/12,235,1,90.25,6.614958449
24,24,8,29,2012,8/29/12,2012,NA,TR9_,TR9,,sun,NA,NA,less than 1 m,,TR9_0829_SUN_Sub1,NA,17,42,8,0,0,0,0,7,0,0,0,0,124,NA,8/29/12,198,67,7,124,0.338383838,0.035353535,0.626262626,1,272,8/29/12,242,1,,
25,25,8,29,2012,8/29/12,2012,NA,TR9_,TR9,,sun,NA,NA,N/A,,TR9_0829_SUN_Sub2,NA,52,22,16,0,0,0,0,5,0,0,0,0,123,NA,8/29/12,218,90,5,123,0.412844037,0.02293578,0.564220183,1,313,8/29/12,242,1,,
44,44,9,11,2012,9/11/12,2012,NA,TR9_,TR9,,sun,NA,NA,21 mm @ 1 m Branch ,21,TR9_0911_SU,NA,36,31,33,0,0,0,0,101,0,0,126,80,0,NA,9/11/12,407,100,101,206,0.245700246,0.248157248,0.506142506,1,608,9/11/12,255,2,110.25,5.514739229
68,68,10,17,2012,10/17/12,2012,NA,TR9_,TR9,,sun,NA,NA,16.5 mm @ 0.8m Branch,16.5,TR9_1017_SU,NA,26,29,31,0,28,0,0,217,0,0,0,0,53,NA,10/17/12,384,86,245,53,0.223958333,0.638020833,0.138020833,1,715,10/17/12,291,3,68.0625,10.50505051
69,69,10,17,2012,10/17/12,2012,NA,TR9_,TR9,,sun,NA,NA,16.3 mm @ 1m branch,16.3,TR9_1017_Su2,NA,23,25,17,0,26,0,0,110,0,0,0,0,112,NA,10/17/12,313,65,136,112,0.207667732,0.434504792,0.357827476,1,514,10/17/12,291,3,66.4225,7.738341676
102,102,11,13,2012,11/13/12,2012,NA,TR9_,TR9,,sun,NA,NA,"Sub1, 17.5 mm @ 1m Branch",17.5,TR9_SU1_1113,NA,30,13,25,0,58,0,0,375,0,0,0,0,82,NA,11/13/12,583,68,433,82,0.116638079,0.74271012,0.140651801,1,1084,11/13/12,318,4,76.5625,14.15836735
103,103,11,13,2012,11/13/12,2012,NA,TR9_,TR9,,sun,NA,NA,"Sub , 17.5 mm @ 1m branch",17.5,TR9_SU1_1113,NA,20,5,33,0,40,0,0,341,0,0,0,0,106,NA,11/13/12,545,58,381,106,0.106422018,0.699082569,0.194495413,1,984,11/13/12,318,4,76.5625,12.8522449
105,105,11,13,2012,11/13/12,2012,NA,TR9_,TR9,,sun,NA,NA,21.4 mm-22.5 mm @ 1m branch,21.95,TR9_1113_SU2,NA,68,18,38,0,108,0,0,712,0,0,0,0,237,NA,11/13/12,1181,124,820,237,0.104995766,0.694326842,0.200677392,1,2125,11/13/12,318,4,120.450625,17.64208363
170,170,11,26,2012,11/26/12,2012,NA,TR9_,TR9,,sun,NA,NA,sub1: 11.8-12.2 mm @ 1m branch,12,TR9_1126_SU,NA,10,14,20,0,10,0,0,106,0,0,0,0,62,NA,11/26/12,222,44,116,62,0.198198198,0.522522523,0.279279279,1,382,11/26/12,331,4,36,10.61111111
172,172,11,26,2012,11/26/12,2012,NA,TR9_,TR9,,sun,X,NA,sub2: 16.6-18.1 mm @ 1 m branch,17.35,TR9_1126_SU,NA,10,6,32,0,0,0,0,299,0,0,0,0,121,NA,11/26/12,468,48,299,121,0.102564103,0.638888889,0.258547009,1,815,11/26/12,331,4,75.255625,10.82975525
309,309,9,19,2012,9/19/12,2013,NA,TR9_,TR9,,sun,X,NA,"18.2, 19.3",18.75,TR9_09.19.2013_SU,NA,57,7,3,0,0,0,0,0,0,0,0,0,331,NA,9/19/13,398,67,0,331,0.168341709,0,0.831658291,1,465,9/19/13,262,2,87.890625,5.290666667
340,340,11,18,2012,11/18/12,2013,NA,TR9_,TR9,,sun,X,NA,"15.16, 16.01 @0.95m",15.585,TR9_11.18.2013_SU1_Sub1+2+others,NA,0,0,0,99,3,0,0,186,0,0,0,0,143,NA,11/18/13,431,99,189,143,0.229698376,0.438515081,0.331786543,1,719,11/18/13,322,4,60.72305625,11.84064249
341,341,11,18,2012,11/18/12,2013,NA,TR9_,TR9,,sun,X,NA,"13.1, 13.7",13.4,TR9_11.18.2013_SU1_Sub5,NA,0,0,0,33,0,0,0,92,0,0,0,0,78,NA,11/18/13,203,33,92,78,0.162561576,0.45320197,0.384236453,1,328,11/18/13,322,4,44.89,7.306749833
343,343,11,19,2012,11/19/12,2013,NA,TR9_,TR9,,sun,X,NA,"17.28, 18",17.64,TR9_11.18.2013_SU2,NA,0,0,0,128,0,0,0,441,0,0,0,0,22,NA,11/19/13,591,128,441,22,0.216582064,0.746192893,0.037225042,1,1160,11/19/13,323,4,77.7924,14.91148236
359,359,3,23,2012,3/23/12,2014,NA,TR9_,TR9,,sun,NA,NA,"23.5, 25.5",24.5,TR9_SU_03232014,NA,0,0,0,0,0,0,0,544,0,0,17,37,0,NA,3/23/14,598,0,544,54,0,0,1,1,1142,3/23/14,82,5,150.0625,7.610162432
