Order,Date,Transect,UniqueID,tag #,Sun.Shade,Excluded.QC,Excluded.Branch.Length,Diam.Length,Branch #,Branch Diameter,Y1/Y2,Y2,Y3,Y,YM,M1,M2,M,M3,M/O,O1,O2,O,Notes,Branch was 1 meter,Excluded for ESA Talk,order of entry
1,08.21.2012,,Tr500_,Tr500_,sun,,,12mm in 1 meter Branch,Tr500_0821,,0,0,0,0,0,0,0,38,0,0,0,0,3,,,,
2,08.21.2012,,Tr502_,Tr502_,MC,,,11.91 mm at 1 m Branch,Tr502_0821,,0,0,0,75,0,0,0,0,0,0,0,0,26,,,,
3,08.22.2012,,US1_TR9,US1_TR9,US,,,11mm in 1m Branch ,US1_TR9_0822,,0,0,0,42,0,0,0,33,0,0,0,0,0,,,,
4,08.22.2012,,TR9_,TR9_,shade,,,14.4 mm in 1m Branch,TR9_0822_Shade,,0,0,0,0,0,0,0,0,0,0,0,0,132,,,,
5,08.22.2012,,TR9_,TR9_,sun,,,19mm in 1m Branch,TR9_0822_Sun,,0,0,0,124,0,0,0,20,0,0,0,0,309,,,,
6,08.23.2012,,TR10_,TR10_,lo,,,7.5 mm @ 1m Branch,TR10_0823_Low,,0,0,0,109,0,0,0,12,0,0,0,0,136,,,,
7,08.23.2012,,TR10_,TR10_,hi,,,10.1 mm@1m Branch,TR10_0823_High,,0,0,0,0,0,0,0,0,0,0,0,0,349,,,,
8,08.23.2012,,TR118_,TR118_,sun,,,N/A,TR118_0823_Sun,,0,0,0,0,0,0,0,0,0,0,0,0,218,,,,
9,08.24.2012,,TR117_,TR117_,shade,,,10.3 mm @ 1m Branch,TR117_0824_SH,,0,0,0,20,0,0,0,23,0,0,0,0,41,,,,
10,08.24.2012,,US2_TR118,US2_TR118,US,,,9.6 mm@ 0.9 m Branch,US2_TR118_0824,,0,0,0,2,0,0,0,25,0,0,0,0,30,,,,
11,08.24.2012,,US1_TR118,US1_TR118,US,,,8.5mm @ 1m Branch,US1_TR118_0824,,0,0,0,53,0,0,0,81,0,0,0,0,94,,,,
12,08.27.2012,,TR500_,TR500_,shade,,,14.4 mm@ 1 m Branch,TR500_0827_Shade,,0,0,0,0,33,0,0,0,0,0,5,31,2,,,,
